"","character(0)"
"chant",2
"chantall",11
"chao",1
"charact",1
"charg",3
"charismat",1
"chart",2
"chase",3
"chat",3
"chateau",1
"chauffeur",1
"cheap",2
"check",12
"cheer",6
"cheerio",1
"chees",1
"cheeseburg",1
"chef",3
"chemis",1
"cherri",1
"chest",4
"chestbump",1
"chester",22
"chew",1
"chi",1
"chicken",1
"chickensd",1
"child",2
"childhood",2
"children",1
"chill",1
"chimp",1
"chin",1
"chinaman",1
"chines",2
"chip",8
"chit",1
"choic",2
"choke",4
"chong",1
"choos",4
"chop",7
"chopper",1
"chorus",1
"christ",4
"christen",1
"christi",1
"christma",1
"chuckl",4
"chunk",2
"church",1
"churn",1
"circl",2
"circumst",2
"citi",4
"civil",2
"clamor",1
"clang",1
"class",5
"classic",1
"classifi",1
"claw",1
"clean",3
"clear",4
"click",3
"client",22
"climb",1
"clip",1
"clipper",1
"clock",1
"close",24
"closer",3
"closet",1
"clotheslin",1
"club",12
"clunki",1
"cmon",6
"coal",1
"coast",2
"coastlin",1
"coat",2
"cobbler",1
"cocain",6
"cock",7
"cockless",1
"cocksuck",4
"cocksuckermaddenfuckingsho",1
"cocktail",2
"coconspir",1
"code",1
"coffe",7
"cohort",1
"coil",1
"coin",1
"coke",14
"cokedup",1
"collar",2
"collater",1
"colleg",3
"color",1
"combin",1
"come",42
"comment",1
"commerci",3
"commiser",1
"commiss",3
"commit",4
"communic",1
"commut",2
"compani",12
"complain",1
"complet",7
"complex",1
"compon",1
"compos",1
"comprehens",1
"comput",4
"concret",1
"condit",2
"condo",2
"condol",1
"condom",2
"confer",8
"confus",1
"conjunct",1
"connect",1
"connector",2
"conniv",1
"connoisseur",1
"conquer",1
"conscious",2
"consequ",1
"conserv",1
"consid",3
"consist",2
"consol",1
"conspiraci",2
"constitut",1
"consumm",1
"contact",1
"contain",1
"contd",82
"contempt",1
"content",1
"continu",25
"contort",3
"contract",1
"control",7
"conveni",1
"convent",1
"convers",4
"convict",2
"convinc",1
"convuls",1
"cook",1
"cool",1
"cooler",1
"cooper",11
"cop",7
"copi",3
"copilot",1
"corleon",1
"corner",4
"correct",1
"cosign",1
"cost",2
"couch",10
"cough",1
"couldnt",11
"count",7
"counter",3
"countri",7
"coupl",5
"cours",10
"court",10
"courtroom",1
"cousin",2
"cover",5
"cozi",1
"cpr",1
"crack",6
"cracker",1
"cradl",1
"cram",2
"crap",1
"crappi",1
"crash",9
"crashland",1
"crawl",4
"crazi",5
"creat",3
"creation",1
"creativ",1
"credit",4
"crew",1
"cri",5
"crime",6
"crimin",6
"crisp",1
"cristi",4
"croix",1
"cromagnon",2
"cross",11
"crotch",2
"crouch",1
"crowd",14
"cruel",1
"cruller",1
"crumbl",1
"crunch",1
"crystal",3
"cubicl",1
"cuff",1
"cum",8
"cunt",3
"cup",2
"curious",4
"curl",2
"current",2
"curs",1
"custodi",2
"custom",7
"custommad",1
"cut",27
"cutrat",1
"cuz",5
"cylind",1
"dad",4
"dada",2
"daddi",11
"daili",1
"dalk",2
"damag",1
"danc",6
"dancedrinksnort",1
"danger",1
"dangl",1
"daniell",3
"dark",2
"darl",1
"dart",2
"dartboard",2
"dash",1
"date",3
"datsun",1
"daughter",2
"dave",4
"day",174
"dea",1
"dead",7
"deal",9
"dealer",2
"dealt",1
"dear",5
"death",1
"debat",1
"debaucheri",2
"deblasio",7
"debri",1
"debt",2
"dec",8
"decid",4
"decis",2
"deck",13
"declar",1
"declin",2
"decor",1
"deep",2
"defacto",1
"defend",6
"defin",1
"definit",1
"deft",1
"defunct",1
"degener",1
"degre",1
"delay",1
"deliv",1
"demur",2
"denham",61
"denhaml",1
"depart",4
"depend",4
"depos",1
"deposit",3
"deprav",1
"depress",1
"descend",7
"deserv",2
"design",5
"desk",22
"desper",3
"despit",1
"destroy",1
"detect",1
"detector",1
"develop",3
"devic",1
"dial",13
"diamond",3
"dice",1
"dick",4
"dictat",2
"didnt",16
"die",6
"dietl",21
"differ",7
"dig",1
"digest",1
"dime",1
"din",1
"dine",2
"diner",4
"dinner",6
"dip",1
"direct",4
"disappear",2
"discov",2
"discoveri",1
"discreet",2
"discuss",2
"dish",2
"dismount",1
"disord",1
"display",1
"disrespect",1
"dissolv",2
"distanc",2
"distant",2
"distend",1
"distinguish",1
"distraught",1
"district",3
"diver",1
"divers",1
"divorc",4
"dock",2
"doctor",4
"document",4
"doesnt",15
"doeuvr",1
"dog",4
"doggystyl",1
"dollar",25
"dom",1
"don",1
"done",7
"donni",234
"donniecontd",3
"donnieo",1
"donnievo",1
"dont",58
"donut",1
"doom",1
"door",20
"doorbel",1
"doorman",1
"doorway",1
"doozi",1
"dosag",1
"dot",1
"doubl",3
"douchea",1
"douchebag",6
"dove",1
"downsid",1
"downstair",1
"dozen",16
"drag",1
"drager",8
"dream",7
"dreamili",1
"dress",13
"dri",2
"drink",14
"drinkingdancingsnort",1
"drip",2
"drive",12
"driver",3
"driveway",1
"drool",6
"droop",1
"drop",7
"drove",2
"drown",2
"drug",12
"drunk",4
"drunken",1
"dubuqu",1
"duchess",7
"dud",1
"dude",1
"due",1
"duffel",1
"duke",2
"dumb",1
"dump",1
"dumpin",1
"dunno",4
"dupe",1
"dusk",1
"dutch",1
"dwarf",4
"dwayn",10
"eager",2
"eagl",1
"ear",6
"earli",2
"earlier",2
"earth",1
"easi",2
"easier",1
"east",1
"eastern",1
"eat",5
"eavesdrop",2
"econom",1
"edg",6
"edit",1
"eet",5
"eez",2
"effect",3
"effort",2
"egg",1
"eight",4
"eighteen",1
"either",3
"elbow",3
"electrocut",1
"electron",2
"eleg",2
"eleph",1
"elev",4
"eleven",1
"ello",1
"els",4
"elvi",1
"embarrass",1
"embrac",1
"emerg",10
"emma",34
"empti",1
"encircl",1
"encount",1
"end",6
"endless",2
"enema",1
"enemi",2
"engag",4
"engin",3
"england",1
"english",2
"enjoy",2
"enorm",1
"enough",9
"enter",16
"entertain",2
"entir",5
"envelop",1
"environment",1
"equal",3
"equip",1
"eras",2
"erect",2
"ert",1
"erupt",1
"especi",1
"essenc",1
"establish",3
"estat",37
"etc",5
"etern",2
"ethnic",1
"european",1
"even",38
"eventu",3
"ever",16
"evergraci",1
"everi",22
"eversoslight",1
"everybodi",6
"everyon",5
"everyth",7
"everythingyouownexpens",1
"everywher",3
"evict",1
"evid",1
"eviley",1
"eviscer",1
"exact",6
"exagger",1
"exampl",2
"exceed",1
"excel",2
"except",4
"exchang",2
"excit",5
"exclus",1
"excus",1
"excusezmoi",1
"execut",1
"exercis",1
"exit",13
"expedit",1
"expens",6
"expert",1
"explain",3
"explicit",1
"explod",3
"expound",1
"express",4
