"","character(0)"
"peopl",24
"peopler",1
"per",2
"percent",2
"perch",1
"perfect",4
"perfunctorili",1
"period",1
"permit",1
"perplex",1
"person",14
"persona",1
"persuas",4
"pertain",1
"perus",2
"pet",2
"peter",7
"petrifi",1
"phantom",1
"pharmaci",1
"pharmacist",1
"phase",8
"phd",1
"phone",64
"phoni",1
"phosphoresc",1
"photo",7
"pick",21
"pictur",2
"pictureperfect",1
"piec",4
"piker",2
"pile",1
"pill",6
"pillar",1
"pin",1
"pinhead",1
"pinhol",1
"pink",11
"pinstrip",1
"pinto",1
"pipe",2
"piss",6
"pitch",4
"place",20
"plan",7
"plane",4
"plank",1
"plastic",3
"platform",1
"platinum",1
"play",7
"player",1
"plead",2
"pleas",8
"pledg",1
"plenti",1
"plum",1
"plumber",1
"plummet",2
"plus",3
"pneumat",1
"pocket",3
"point",13
"poke",1
"polaroid",3
"polic",8
"polish",2
"polit",3
"polo",1
"pond",1
"poni",3
"pool",8
"poor",5
"pop",14
"popey",3
"popul",1
"popular",1
"porsch",2
"portfolio",1
"porthol",1
"portion",2
"pose",1
"posit",2
"possess",1
"possibl",3
"pot",3
"potenc",1
"potenti",1
"pothol",1
"pound",3
"pour",4
"pout",1
"pov",6
"poverti",2
"pow",1
"powder",1
"power",6
"practic",2
"pray",2
"precis",1
"pregnant",3
"prelap",3
"preppylook",1
"prescrib",1
"present",2
"presidenti",2
"press",2
"pressur",2
"presumpt",1
"pretend",2
"pretenti",1
"pretti",9
"previous",1
"price",9
"prick",3
"pride",2
"print",1
"prioriti",2
"prison",12
"privat",7
"probabl",9
"probat",1
"problem",10
"produc",1
"profession",1
"profil",1
"profit",4
"profound",1
"progress",2
"project",1
"promis",4
"proof",1
"proper",1
"propos",1
"prostitut",3
"protect",2
"provid",1
"public",5
"puff",1
"puke",1
"pull",28
"pummel",1
"pump",4
"puppi",1
"pure",1
"purg",1
"pursu",3
"pursuant",1
"push",12
"pussi",3
"put",15
"quaalud",7
"qualiti",1
"quarterback",1
"quash",1
"queen",4
"queer",1
"question",3
"quick",9
"quiet",5
"quit",4
"quotron",2
"race",6
"raci",1
"rack",1
"radar",2
"radio",4
"rage",2
"rais",4
"rake",1
"ram",1
"rang",7
"rao",2
"rape",1
"rapidfir",1
"rapt",1
"rare",1
"rat",8
"rather",1
"rathol",4
"ratti",1
"rattl",1
"raven",1
"raymond",1
"razi",1
"razorsharp",1
"razorstubbl",1
"reach",2
"react",1
"reaction",1
"read",15
"readi",6
"readout",1
"real",16
"realiz",7
"realli",17
"rear",5
"reason",2
"receiv",1
"recent",1
"recit",1
"recommend",3
"record",4
"recov",1
"recruit",1
"red",7
"reek",1
"refil",1
"reflect",1
"regard",2
"regist",1
"regret",3
"regulatori",1
"reintroduc",1
"reinvent",1
"relationship",3
"relax",5
"releas",4
"remain",1
"remand",1
"rememb",5
"remind",1
"remodel",1
"remov",4
"rent",2
"report",3
"requir",3
"rerun",1
"rescu",2
"research",2
"resist",1
"reson",1
"respect",1
"respond",2
"respons",2
"rest",6
"restaur",4
"restitut",1
"restrain",3
"resum",2
"retard",2
"retir",1
"retriev",3
"return",4
"reveal",4
"revers",2
"review",3
"revis",142
"rhythmic",1
"rib",1
"rich",19
"richest",1
"rid",1
"ride",7
"ridg",4
"ridicul",1
"rifl",1
"right",34
"righteo",1
"rim",1
"ring",12
"ringer",1
"rip",2
"ripe",1
"rise",5
"risk",1
"riskin",10
"ritual",1
"road",4
"roar",4
"rob",1
"robbi",26
"robert",1
"robin",1
"rocco",4
"rochell",3
"rock",2
"rocki",9
"rocksolid",1
"rogu",2
"roll",8
"romant",1
"rome",1
"roof",1
"room",40
"roost",2
"rot",1
"rothschild",7
"round",1
"routin",1
"rover",1
"row",2
"rub",1
"rue",1
"rugrat",38
"rule",2
"rumor",3
"rumpl",1
"run",7
"rush",8
"sad",2
"safe",5
"said",16
"sail",7
"sailor",1
"sake",2
"sale",21
"salesman",3
"saliva",1
"salon",1
"salut",2
"samantha",1
"samitz",1
"satisfi",1
"sauna",1
"saurel",32
"save",8
"saw",1
"say",36
"scan",3
"scene",40
"scent",1
"schedul",2
"schmendrick",1
"schmuck",2
"school",2
"scientist",1
"scissor",1
"scool",1
"scout",1
"scragg",1
"scratch",1
"scrawl",3
"scrazi",1
"scream",7
"screech",1
"screen",6
"script",1
"scum",1
"scumbag",1
"sea",28
"seagul",1
"search",1
"season",1
"seat",10
"sec",12
"second",10
"secreci",1
"secret",3
"secur",11
"sedat",2
"seduct",2
"see",55
"seem",2
"seen",3
"seeth",2
"seiz",1
"sell",19
"seminar",7
"semit",1
"send",1
"senior",1
"sens",5
"sent",3
"sentenc",5
"sep",13
"septemb",2
"sera",1
"seri",6
"serious",2
"serv",8
"servic",1
"set",13
"settl",6
"seven",5
"seventi",3
"seventytwo",1
"sever",3
"sex",2
"sexual",1
"shadi",1
"shake",9
"shaken",1
"shall",5
"shambl",1
"shape",1
"share",23
"sharpen",1
"sharpli",1
"shatter",1
"shave",2
"shed",2
"sheep",1
"sheet",10
"shelf",1
"shes",12
"shhhh",1
"shhhoooess",1
"shi",1
"shift",3
"ship",1
"shirt",1
"shirtsleev",1
"shit",31
"shitbag",1
"shitheel",1
"shitll",1
"shitti",1
"shock",2
"shoe",14
"shoot",4
"shop",20
"shore",1
"short",6
"shot",11
"shoulder",5
"shouldnt",2
"shove",1
"show",8
"shower",3
"showman",1
"shrimp",2
"shrug",3
"shuffl",1
"shuid",1
"shut",3
"sick",4
"side",14
"sidelin",1
"sideway",1
"sigh",1
"sight",2
"sign",10
"signag",1
"signal",2
"silenc",3
"silent",3
"silk",1
"silver",2
"simpl",1
"sinc",7
"singl",3
"sink",1
"sip",3
"sir",10
"siren",1
"sit",55
"sitdown",1
"six",12
"sixseven",1
"sixteen",1
"sixtythre",1
"size",4
"sizzl",1
"skank",1
"skateboard",1
"ski",3
"skill",2
"skip",1
"skirt",2
"skitter",1
"skull",2
"sky",1
"skylar",22
"skypag",1
"slack",1
"slacken",1
"slam",5
"slap",3
"slash",2
"slavic",1
"sleep",8
"sleeveless",1
"sli",1
"slide",1
"slight",1
"slip",9
"sloven",1
"slovenian",1
"slow",2
"slower",1
"slowli",6
"slur",2
"small",9
"smart",3
"smartbomb",1
"smartest",1
"smash",1
"smatter",1
"smile",38
"smoke",5
"smug",1
"smuggl",2
"snake",1
"snap",2
"snapshot",1
"snarf",2
"snatch",1
"sneak",2
"sneaker",1
"sneaki",1
"snore",1
"snort",7
"soak",1
"sob",1
"sober",4
"sod",1
"sofa",1
"soil",1
"sold",3
"soloman",1
"solomon",9
"somebodi",1
"someday",1
"somehow",2
"someon",7
"somersault",1
"someth",25
"sometim",5
"son",3
"sonovabitch",2
"sonovacunt",1
"soon",2
"sophist",1
"sorri",10
"sos",1
"sound",11
"sour",1
"south",6
"space",1
"span",1
"sparkl",2
"spastic",1
"speak",10
"speaker",3
"speakerphon",1
"special",1
"specialist",1
"specif",1
"speed",1
"spellcheck",1
"spend",4
"spent",2
"spew",1
"spill",2
"spinach",1
"splash",3
"splat",1
"split",1
"spoke",1
"spoon",3
"sportscar",1
"spose",1
"spot",7
"spread",7
"spring",10
"spurt",1
"squarejaw",1
"squat",1
"squeal",1
"squeez",1
"squirm",1
"squirt",1
"ssshhhhoe",1
"stabil",1
"stabilti",1
"stack",6
"staff",1
"stage",2
"stagger",2
"stain",1
"stair",6
"staircas",3
"stake",2
"stalk",1
"stall",1
"stamp",1
"stand",33
"standpoint",1
"star",1
"stare",5
"start",53
"stash",2
"state",2
"staten",1
"station",1
"stay",3
"steal",2
"steam",5
"steeki",2
"steep",1
"steer",1
"step",10
"stephani",1
"steve",35
"stew",1
"steward",1
"stewardess",3
"stick",5
"still",20
"stir",1
"stock",41
"stockbrok",2
"stockroom",1
"stogel",1
"stoic",1
"stole",1
"stomach",2
"stomp",3
"stone",5
"stool",1
"stop",19
"storag",1
"store",4
"storefront",1
"stori",3
"storm",4
"straddl",1
"straight",11
"straighten",1
"strain",1
"straitjacket",1
"strap",1
"strategi",2
"stratospher",1
"stratton",76
"strattonit",7
"straw",4
"stray",1
"streak",1
"street",154
"strength",2
"stress",3
"stretch",1
"strict",1
"stride",1
"strip",4
"stripe",1
"stripper",4
"stroke",1
"stronger",1
"stronghold",1
"struggl",2
"strung",1
"stub",1
"stuck",1
"student",1
"studi",4
"stuf",1
"stuff",2
"stumbl",3
"stun",4
"stupid",4
"style",1
"styrofoam",1
"suav",1
"subpoena",6
"substanc",2
"subway",4
"success",5
"successor",1
"suck",6
"sudden",6
"suit",17
"suitcas",4
"summer",51
"summon",1
"sunbath",1
"sunlight",1
"sunset",3
"super",2
"superhuman",1
"superstar",1
"superston",1
"supervis",1
"suppos",2
"sure",14
"surpris",4
"surreptiti",1
"surround",1
"survey",1
"surviv",1
"sushi",1
"suspect",1
"swallow",2
"swat",1
"swear",2
"sweat",7
"sweati",1
"sweet",3
"sweetheart",1
"sweeti",2
"swell",2
"swig",2
"swim",1
"swiss",14
"switzerland",12
"synthes",1
"system",4
"tabl",13
"tackl",1
"tactic",1
"tag",1
"tai",1
"tail",1
"tailor",2
"take",79
"taken",4
"takeout",2
"takeov",1
"tale",1
"talk",36
"tall",1
"tan",1
"tangier",3
"tank",2
"tap",2
"tape",9
"target",3
"taser",1
"tast",1
"tattoo",1
"taught",1
"tea",1
"teach",1
"teacher",1
"team",2
"tear",1
"tech",2
"technic",2
"techniqu",1
"techno",2
"ted",21
"teddi",1
"teen",1
"teenag",1
"teeth",6
"telephon",7
"tell",26
"tellin",2
"temper",2
"ten",8
"tend",1
"tender",1
"tenni",5
"tension",2
"terenc",1
"teresa",38
"term",5
"terribl",1
"terrif",1
"terrifi",2
"terrorist",1
"testarossa",1
"testimoni",2
"testosteron",1
"texa",1
"thank",15
"that",36
"thatd",2
"thatr",1
"thees",1
"there",20
"theyd",2
"theyll",4
"theyr",17
"theyv",1
"thick",2
"thicklip",1
"thief",1
"thigh",5
"thin",2
"thing",30
"think",46
"thirdrat",1
"thirti",3
"thirtyseven",1
"thisd",1
"though",11
"thought",6
"thousand",14
"threaten",1
"three",28
"threemartini",1
"threw",2
"thrill",1
"thrive",1
"throat",4
"throttl",1
"throughout",1
"throw",7
"thrust",3
"thud",1
"thump",3
"thumpthump",2
"thumpthumpthumpthump",1
"thunder",2
"thunk",1
"thunkthunkthunk",1
"thus",2
"tick",1
"ticker",1
"ticket",4
"tickytack",1
"tie",5
"tight",2
"til",3
"till",6
"time",45
"timer",1
"tingl",2
"tini",4
"tip",4
"tire",2
"tit",1
"titl",1
"titter",1
"toast",4
"tobi",13
"today",7
"toe",1
"togeth",5
"toilet",1
"told",8
"toler",1
"tommi",1
"tomorrow",1
"took",8
"tool",1
"tootski",1
"top",9
"toppl",2
"toss",1
"total",10
"touch",6
"tough",1
"toughguy",1
"toward",18
"towel",2
"tower",2
"tozay",1
"track",2
"tractortrail",1
"trade",5
"trademark",1
"tradit",1
"traffic",1
"trail",1
"train",3
"traine",1
"tran",1
"tranq",1
"transact",1
"transfix",2
"transit",1
"transport",3
"tray",2
"treadmil",1
"treat",3
"tree",2
"tremend",1
"trend",1
"tri",21
"trial",1
"trigger",1
"trip",6
"triumphant",1
"troop",2
"tropic",1
"troubl",3
"true",3
"truli",2
"trust",5
"truth",2
"tshirt",4
"tube",3
"tuck",1
"tuesday",1
"tuition",1
"turn",28
"turtl",1
"tutori",2
"tuxedo",1
"tuxedoclad",1
"twat",1
"twelfth",1
"twelv",2
"twenti",13
"twentyseven",1
"twerp",2
"twinengin",1
"twist",2
"twitch",1
"twitchi",1
"two",49
"type",1
"typic",1
"ugli",1
"uhhh",2
"uhoh",1
"ultramodernist",1
"umheidi",1
"unawar",1
"uncertainti",1
"uncl",1
"uncomfort",3
"uncontrol",1
"undercov",1
"understand",5
"underwear",3
"underwrit",1
"unfurl",1
"union",1
"unit",1
"univers",2
"unless",3
"unlimit",1
"unload",3
"unlos",1
"unmark",1
"unorthodox",1
"unthink",1
"unti",1
"upon",2
"upright",1
"upset",1
"upsid",1
"upstair",3
"upward",1
"urg",1
"urgenc",2
"urgent",1
"use",11
"usher",1
"usual",2
"vacat",3
"vagina",1
"valium",1
"valu",1
"valuabl",1
"van",2
"variat",1
"various",7
"vault",1
"vega",2
"vehicl",1
"velcro",1
"venic",4
"ventur",1
"verrazano",1
"version",1
"vial",4
"vibrat",1
"vice",1
"vicious",1
"victim",2
"victori",1
"video",9
"videograph",1
"view",2
"villain",1
"violat",1
"violent",1
"violet",8
"virginia",1
"visibl",2
"visin",1
"vision",1
"visit",2
"visitor",1
"voic",9
"vomit",3
"vone",3
"wad",2
"wagner",1
"wait",13
"waiter",4
"waitress",2
"wake",5
"walk",12
"wall",158
"walmart",1
"walrus",1
"waltz",1
"wanna",6
"want",55
"war",3
"warhol",1
"warmth",1
"warn",4
"warren",1
"wash",3
"wasnt",5
"wasp",1
"waspi",1
"wast",3
"watch",32
"water",11
"waterfal",3
"wave",14
"wax",1
"way",22
"waz",1
"wazza",4
"weak",1
"wealth",3
"wealthi",3
"wealthiest",1
"wear",19
"weather",1
"weav",1
"wed",15
"weed",2
"week",7
"weekend",1
"weep",2
"weigh",2
"weird",2
"weirdest",1
"welch",10
"welcom",4
"well",27
"went",5
"werent",4
"west",1
"wet",4
"weve",7
"whaa",1
"what",14
"whatev",8
"whatr",1
"whattaya",1
"whazz",1
"wheel",8
"where",3
"whether",2
"whisper",1
"white",13
"whitejacket",1
"whod",2
"whoever",1
"whole",7
"whoop",2
"whoosh",1
"whore",1
"whos",5
"whose",2
"wide",2
"widen",1
"wife",15
"wigwearin",1
"wild",10
"wilder",1
"wildey",1
"will",34
"win",3
"wind",4
"windbreak",2
"window",8
"wine",7
"wink",2
"winner",1
"winter",3
"wipe",5
"wire",5
"wise",1
"wish",1
"wit",1
"wither",1
"within",10
"without",6
"wive",1
"wiz",2
"wizzz",1
"woken",1
"wolf",139
"wolfhowl",1
"woman",6
"women",4
"won",1
"wonder",3
"wonderland",1
"wont",8
"word",6
"wore",1
"work",22
"world",11
"worldclass",1
"worn",1
"worri",3
"wors",3
"worship",2
"worth",3
"worthless",4
"wouldnt",11
"wouldv",1
"wow",1
"wrangl",1
"wrap",2
"wreck",1
"wrestl",1
"wrinkl",1
"write",4
"written",1
"wrong",6
"wrongdo",1
"wrote",1
"wuzz",6
"xanax",1
"yacht",18
"yap",2
"yard",3
"yawn",1
"yeah",17
"year",27
"yell",2
"yellow",5
"yellowtail",1
"yes",13
"yet",5
"yknow",1
"yodel",1
"yoo",1
"york",8
"youd",7
"youll",14
"young",13
"your",49
"youv",3
"zaw",1
"zay",1
"zealand",1
"zee",4
"zint",1
"zip",1
"zod",2
"zoggin",1
"zone",3
"zonni",1
"zoo",3
"zoom",3
"zuppos",2
"zurich",3
"zwizzyland",1
